sector,sector_id,year,LP,K,NET,LH
窯業・土石製品,8,1997,3848.505786,39.6,571.6264015,109762.08
一次金属,9,1997,8426.032282,137.5,238.0700042,110373.42
金属製品,10,1997,3269.799274,131,528.4124451,230693.06
はん用・生産用・業務用機械,11,1997,3925.255152,388,542.8750223,350242.2
電子部品・デバイス,12,1997,725.1758658,233.3,407.0302854,147840
電気機械,13,1997,2840.160695,1361.3,573.9776298,182208
情報・通信機器,14,1997,1552.260316,206.5,630.3952345,79104
輸送用機械,15,1997,5099.277363,332.9,324.7901796,234696
その他の製造品,16,1997,1815.959121,487.8,594.4891188,493634.46
電気・ガス・水道・廃棄物処理業,17,1997,15504.70925,148.6,546.078523,108471.56
建設業,18,1997,2802.746446,218.5,721.1455838,1442802.65
卸売・小売業,19,1997,3351.149046,1994,1034.026205,2165287.16
運輸・郵便業,20,1997,3577.082749,647.1,611.0835139,776372.87
宿泊・飲食サービス業,21,1997,2884.661587,276.9,817.4644115,652648.48
情報通信業,22,1997,6288.654264,3352.4,642.3846461,253529.6
金融・保険業,23,1997,7011.867814,2857.4,1192.722018,348463.5
不動産業,24,1997,27401.0609,195.9,1773.741129,192290
専門・科学技術、業務支援サービス業,25,1997,2494.817503,1257.9,1193.983439,904535.1
公務,26,1997,6401.723633,730.2,1332.982554,373499.41
教育,27,1997,4928.252743,227.4,1074.910279,349592.46
保健衛生・社会事業,28,1997,3391.927799,1075.3,869.2626497,682349.43
その他のサービス,29,1997,2635.111191,456.2,872.1601193,1025835.27
農林水産業,1,1998,987.5873872,294.4,592.5522326,758737.92
鉱業,2,1998,5794.631647,7.6,959.0787884,16829.37
食料品,3,1998,5030.962965,217.6,597.9437812,298718.16
繊維製品,4,1998,1551.825331,103.7,583.7420889,249164.64
パルプ・紙・紙加工品,5,1998,4700.583296,36.8,565.97982,64006.95
化学,6,1998,10648.97616,542.5,413.3636482,78166.2
石油・石炭製品,7,1998,119276.0135,91.6,105.3059667,7526.66
窯業・土石製品,8,1998,3768.976028,41.6,605.990492,102746.74
一次金属,9,1998,7874.043562,142.7,250.9592442,99083.78
金属製品,10,1998,3359.555021,139,557.499827,214320.05
はん用・生産用・業務用機械,11,1998,3929.277369,413.3,576.1059167,330157.4
電子部品・デバイス,12,1998,755.2152307,252.1,432.7267461,142264.08
電気機械,13,1998,2940.58641,1534,605.6540191,167480.2
情報・通信機器,14,1998,1645.122797,201.7,669.6753566,76024.72
輸送用機械,15,1998,5533.078639,359.2,345.6939103,219138.4
その他の製造品,16,1998,1865.254686,535.8,631.1542916,462574.9
電気・ガス・水道・廃棄物処理業,17,1998,16043.84587,158.2,581.0108999,108244.62
建設業,18,1998,2914.448338,235.7,761.7066412,1354307.76
卸売・小売業,19,1998,3303.235099,2064.6,1104.382408,2138076.7
運輸・郵便業,20,1998,3520.27654,693.5,651.7560569,753574.32
宿泊・飲食サービス業,21,1998,2868.356146,313.9,860.0600688,652516.6
情報通信業,22,1998,6918.245026,3592.2,670.0660752,259619.31
金融・保険業,23,1998,6656.147058,3170,1254.651409,350424.95
不動産業,24,1998,26054.27838,201.4,1950.072439,200061.96
専門・科学技術、業務支援サービス業,25,1998,2579.258637,1286.7,1280.066517,896881.75
